"UniversityNorm","CanonicalUniversity","VariantsCount","TotalRows","Variants"
"whitworth university","Whitworth University","1","1","Whitworth University:1"
"westlake university","Westlake University","1","1","Westlake University:1"
"al azhar university","Al Azhar University","1","1","Al Azhar University:1"
"aksaray university","Aksaray University","1","1","Aksaray University:1"
"wheaton college illinois","Wheaton College Illinois","1","1","Wheaton College Illinois:1"
"wonkwang university","Wonkwang University","1","1","Wonkwang University:1"
"wirtschaftsuniversitat wien","Wirtschaftsuniversitat Wien","1","1","Wirtschaftsuniversitat Wien:1"
"wright state university","Wright State University","1","1","Wright State University:1"
"ahvaz jundishapur university of medical sciences","Ahvaz Jundishapur University of Medical Sciences","1","1","Ahvaz Jundishapur University of Medical Sciences:1"
"aichi medical university","Aichi Medical University","1","1","Aichi Medical University:1"
"willamette university","Willamette University","1","1","Willamette University:1"
"air university islamabad","Air University Islamabad","1","1","Air University Islamabad:1"
"william paterson university of new jersey","William Paterson University of New Jersey","1","1","William Paterson University of New Jersey:1"
"william jessup university","William Jessup University","1","1","William Jessup University:1"
"west university of timisoara","West University of Timisoara","1","1","West University of Timisoara:1"
"west pomeranian university of technology","West Pomeranian University of Technology","1","1","West Pomeranian University of Technology:1"
"western carolina university","Western Carolina University","1","1","Western Carolina University:1"
"alabama a and m university","Alabama A&M University","1","1","Alabama A&M University:1"
"west chester university of pennsylvania","West Chester University of Pennsylvania","1","1","West Chester University of Pennsylvania:1"
"wenzhou medical university","Wenzhou Medical University","1","1","Wenzhou Medical University:1"
"albany college of pharmacy and health sciences","Albany College of Pharmacy and Health Sciences","1","1","Albany College of Pharmacy and Health Sciences:1"
"alagappa university","Alagappa University","1","1","Alagappa University:1"
"wenzhou university","Wenzhou University","1","1","Wenzhou University:1"
"al furat al awsat technical university","Al Furat Al Awsat Technical University","1","1","Al Furat Al Awsat Technical University:1"
"al imam muhammad ibn saud islamic university","Al Imam Muhammad Ibn Saud Islamic University","1","1","Al Imam Muhammad Ibn Saud Islamic University:1"
"al baha university","Al Baha University","1","1","Al Baha University:1"
"al balqa applied university","Al Balqa Applied University","1","1","Al Balqa Applied University:1"
"western norway university of applied sciences","Western Norway University of Applied Sciences","1","1","Western Norway University of Applied Sciences:1"
"western kentucky university","Western Kentucky University","1","1","Western Kentucky University:1"
"western illinois university","Western Illinois University","1","1","Western Illinois University:1"
"western new england university","Western New England University","1","1","Western New England University:1"
"al quds university arab university in jerusalem","Al Quds University Arab University in Jerusalem","1","1","Al Quds University Arab University in Jerusalem:1"
"catholic university of leuven","Catholic University of Leuven","1","1","Catholic University of Leuven:1"
"university of nantes","University of Nantes","1","1","University of Nantes:1"
"university of napoli parthenope istituto universitario navale","University of Napoli Parthenope (Istituto Universitario Navale)","1","1","University of Napoli Parthenope (Istituto Universitario Navale):1"
"university of napoli federico 2","University of Napoli Federico 2","1","1","University of Napoli Federico 2:1"
"catholic university of lublin","Catholic University of Lublin","1","1","Catholic University of Lublin:1"
"university of mumbai","University of Mumbai","1","1","University of Mumbai:1"
"university of mulhouse","University of Mulhouse","1","1","University of Mulhouse:1"
"university of nairobi","University of Nairobi","1","1","University of Nairobi:1"
"centra college of nursing","Centra College of Nursing","1","1","Centra College of Nursing:1"
"carl von ossietzky universitat oldenburg","Carl Von Ossietzky Universitat Oldenburg","1","1","Carl Von Ossietzky Universitat Oldenburg:1"
"carl von ossietzky university of oldenburg","Carl von Ossietzky University of Oldenburg","1","1","Carl von Ossietzky University of Oldenburg:1"
"cardiff metropolitan university university of wales institute cardiff","Cardiff Metropolitan University (University of Wales Institute Cardiff)","1","1","Cardiff Metropolitan University (University of Wales Institute Cardiff):1"
"university of new england","University of New England","1","1","University of New England:1"
"university of neuchatel","University of Neuchatel","1","1","University of Neuchatel:1"
"university of nebraska kearney","University of Nebraska Kearney","1","1","University of Nebraska Kearney:1"
"catholic university of korea","Catholic University of Korea","1","1","Catholic University of Korea:1"
"carol davila university of medicine and pharmacy","Carol Davila University of Medicine and Pharmacy","1","1","Carol Davila University of Medicine and Pharmacy:1"
"catholic university of daegu","Catholic University of Daegu","1","1","Catholic University of Daegu:1"
"university of moncton","University of Moncton","1","1","University of Moncton:1"
"university of mohaghegh ardabili","University of Mohaghegh Ardabili","1","1","University of Mohaghegh Ardabili:1"
"university of mons university of mons hainaut","University of Mons (University of Mons-Hainaut)","1","1","University of Mons (University of Mons-Hainaut):1"
"central european university budapest","Central European University Budapest","1","1","Central European University Budapest:1"
"university of modena e reggio emilia","University of Modena e Reggio Emilia","1","1","University of Modena e Reggio Emilia:1"
"central south university zhongnan university","Central South University (Zhongnan University)","1","1","Central South University (Zhongnan University):1"
"university of missouri saint louis","University of Missouri Saint Louis","1","1","University of Missouri Saint Louis:1"
"central queensland university cquniversity","Central Queensland University CQUniversity","1","1","Central Queensland University CQUniversity:1"
"university of miyazaki","University of Miyazaki","1","1","University of Miyazaki:1"
"university of mosul","University of Mosul","1","1","University of Mosul:1"
"university of moratuwa","University of Moratuwa","1","1","University of Moratuwa:1"
"university of msila mohamed boudiaf","University of Msila Mohamed Boudiaf","1","1","University of Msila Mohamed Boudiaf:1"
"university of mount union","University of Mount Union","1","1","University of Mount Union:1"
"central china normal university","Central China Normal University","1","1","Central China Normal University:1"
"university of montenegro","University of Montenegro","1","1","University of Montenegro:1"
"university of montana missoula","University of Montana Missoula","1","1","University of Montana Missoula:1"
"university of montpellier 3","University of Montpellier 3","1","1","University of Montpellier 3:1"
"central connecticut state university","Central Connecticut State University","1","1","Central Connecticut State University:1"
"university of northern british columbia","University of Northern British Columbia","1","1","University of Northern British Columbia:1"
"university of northampton","University of Northampton","1","1","University of Northampton:1"
"university of notre dame australia","University of Notre Dame Australia","1","1","University of Notre Dame Australia:1"
"university of northern colorado","University of Northern Colorado","1","1","University of Northern Colorado:1"
"university of north texas health science center at fort worth","University of North Texas Health Science Center at Fort Worth","1","1","University of North Texas Health Science Center at Fort Worth:1"
